,season,team,fg,fg%,3pt,3p%,ft,ft%,or,dr,reb,ast,blk,stl,pf,to,pts,player
0,2005-06,CLE,146-307,47.6,21-63,33.3,87-118,73.7,22,83,105,76,9,18,44,65,400,1
1,2006-07,CLE,166-399,41.6,21-75,28.0,148-196,75.5,26,135,161,159,10,34,40,66,501,1
2,2007-08,CLE,113-275,41.1,18-70,25.7,122-167,73.1,16,86,102,99,17,23,33,54,366,1
3,2008-09,CLE,159-312,51.0,27-81,33.3,149-199,74.9,19,109,128,102,12,23,30,38,494,1
4,2009-10,CLE,106-211,50.2,20-50,40.0,88-120,73.3,15,87,102,84,20,19,23,42,320,1
5,2010-11,MIA,174-373,46.6,30-85,35.3,119-156,76.3,34,142,176,123,25,35,56,66,497,1
6,2011-12,MIA,251-502,50.0,22-85,25.9,173-234,73.9,54,170,224,129,16,43,47,81,697,1
7,2012-13,MIA,212-432,49.1,36-96,37.5,136-175,77.7,37,156,193,152,18,41,43,70,596,1
8,2013-14,MIA,192-340,56.5,35-86,40.7,129-160,80.6,14,127,141,95,11,36,46,61,548,1
9,2014-15,CLE,227-544,41.7,25-110,22.7,122-167,73.1,37,189,226,169,21,33,58,82,601,1
10,2015-16,CLE,219-417,52.5,32-94,34.0,82-124,66.1,42,158,200,160,27,49,54,75,552,1
11,2016-17,CLE,217-384,56.5,44-107,41.1,113-162,69.8,19,145,164,141,23,35,43,72,591,1
12,2017-18,CLE,275-510,53.9,39-114,34.2,159-213,74.6,31,169,200,198,23,30,52,94,748,1
13,2019-20,LAL,214-382,56.0,44-119,37.0,108-150,72.0,28,198,226,184,18,26,40,84,580,1
14,Career,,2671-5388,49.6,414-1235,33.5,1735-2341,74.1,394,1954,2348,1871,250,445,609,950,7491,1
0,1996-97,LAL,21-55,38.2,6-23,26.1,26-30,86.7,1,10,11,11,2,3,23,14,74,2
1,1997-98,LAL,31-76,40.8,3-14,21.4,31-45,68.9,7,14,21,16,8,3,28,11,96,2
2,1998-99,LAL,61-142,43.0,8-23,34.8,28-35,80.0,13,42,55,37,10,15,24,31,158,2
3,1999-00,LAL,174-394,44.2,22-64,34.4,95-126,75.4,26,72,98,97,32,32,89,55,465,2
4,2000-01,LAL,168-358,46.9,11-34,32.4,124-151,82.1,29,87,116,97,12,25,53,51,471,2
5,2001-02,LAL,187-431,43.4,22-58,37.9,110-145,75.9,28,83,111,87,17,27,65,54,506,2
6,2002-03,LAL,137-317,43.2,25-62,40.3,86-104,82.7,16,45,61,62,1,14,35,42,385,2
7,2003-04,LAL,190-460,41.3,24-97,24.7,135-166,81.3,18,86,104,121,7,42,59,61,539,2
8,2005-06,LAL,72-145,49.7,14-35,40.0,37-48,77.1,4,40,44,36,3,8,25,33,195,2
9,2006-07,LAL,60-130,46.2,10-28,35.7,34-37,91.9,1,25,26,22,2,5,10,22,164,2
10,2007-08,LAL,222-463,47.9,32-106,30.2,157-194,80.9,18,101,119,117,8,35,59,70,633,2
11,2008-09,LAL,242-530,45.7,37-106,34.9,174-197,88.3,19,104,123,126,21,38,59,59,695,2
12,2009-10,LAL,234-511,45.8,49-131,37.4,154-183,84.2,26,112,138,126,16,31,75,79,671,2
13,2010-11,LAL,83-186,44.6,12-41,29.3,50-61,82.0,8,26,34,33,3,16,23,31,228,2
14,2011-12,LAL,132-301,43.9,17-60,28.3,79-95,83.2,16,42,58,52,2,16,33,34,360,2
15,Career,,2014-4499,44.8,292-882,33.1,1320-1617,81.6,230,889,1119,1040,144,310,660,647,5640,2
0,1985,CHI,34-78,43.6,1-8,12.5,48-58,82.8,7,16,23,34,4,11,15,15,117,3
1,1986,CHI,48-95,50.5,1-1,100.0,34-39,87.2,5,14,19,17,4,7,13,14,131,3
2,1987,CHI,35-84,41.7,2-5,40.0,35-39,89.7,7,14,21,18,7,6,11,8,107,3
3,1988,CHI,138-260,53.1,1-3,33.3,86-99,86.9,23,48,71,47,11,24,38,39,363,3
4,1989,CHI,199-390,51.0,10-35,28.6,183-229,79.9,26,93,119,130,13,42,65,68,591,3
5,1990,CHI,219-426,51.4,16-50,32.0,133-159,83.6,24,91,115,109,14,45,54,56,587,3
6,1991,CHI,197-376,52.4,10-26,38.5,125-148,84.5,18,90,108,142,23,40,53,43,529,3
7,1992,CHI,290-581,49.9,17-44,38.6,162-189,85.7,37,100,137,127,16,44,62,81,759,3
8,1993,CHI,251-528,47.5,28-72,38.9,136-169,80.5,32,96,128,114,17,39,58,45,666,3
9,1994-95,CHI,120-248,48.4,11-30,36.7,64-79,81.0,20,45,65,45,14,23,30,41,315,3
10,1995-96,CHI,187-407,45.9,25-62,40.3,153-187,81.8,31,58,89,74,6,33,49,42,552,3
11,1996-97,CHI,227-498,45.6,13-67,19.4,123-148,83.1,42,108,150,91,17,30,46,49,590,3
12,1997-98,CHI,243-526,46.2,13-43,30.2,181-223,81.2,33,74,107,74,12,32,47,45,680,3
13,Career,,2188-4497,48.7,148-446,33.2,1463-1766,82.8,305,847,1152,1022,158,376,541,546,5987,3
