season,team,gp,gs,min,fg,fg%,3pt,3p%,ft,ft%,or,dr,reb,ast,blk,stl,pf,to,pts,player
2005-06,CLE,13,13,46.5,11.2-23.6,47.6,1.6-4.8,33.3,6.7-9.1,73.7,1.7,6.4,8.1,5.8,0.7,1.4,3.4,5.0,30.8,1
2006-07,CLE,20,20,44.7,8.3-20.0,41.6,1.1-3.8,28.0,7.4-9.8,75.5,1.3,6.8,8.1,8.0,0.5,1.7,2.0,3.3,25.1,1
2007-08,CLE,13,13,42.5,8.7-21.2,41.1,1.4-5.4,25.7,9.4-12.8,73.1,1.2,6.6,7.8,7.6,1.3,1.8,2.5,4.2,28.2,1
2008-09,CLE,14,14,41.4,11.4-22.3,51.0,1.9-5.8,33.3,10.6-14.2,74.9,1.4,7.8,9.1,7.3,0.9,1.6,2.1,2.7,35.3,1
2009-10,CLE,11,11,41.8,9.6-19.2,50.2,1.8-4.5,40.0,8.0-10.9,73.3,1.4,7.9,9.3,7.6,1.8,1.7,2.1,3.8,29.1,1
2010-11,MIA,21,21,43.9,8.3-17.8,46.6,1.4-4.0,35.3,5.7-7.4,76.3,1.6,6.8,8.4,5.9,1.2,1.7,2.7,3.1,23.7,1
2011-12,MIA,23,23,42.7,10.9-21.8,50.0,1.0-3.7,25.9,7.5-10.2,73.9,2.3,7.4,9.7,5.6,0.7,1.9,2.0,3.5,30.3,1
2012-13,MIA,23,23,41.7,9.2-18.8,49.1,1.6-4.2,37.5,5.9-7.6,77.7,1.6,6.8,8.4,6.6,0.8,1.8,1.9,3.0,25.9,1
2013-14,MIA,20,20,38.2,9.6-17.0,56.5,1.8-4.3,40.7,6.5-8.0,80.6,0.7,6.4,7.1,4.8,0.6,1.8,2.3,3.1,27.4,1
2014-15,CLE,20,20,42.2,11.4-27.2,41.7,1.3-5.5,22.7,6.1-8.4,73.1,1.9,9.5,11.3,8.5,1.1,1.7,2.9,4.1,30.1,1
2015-16,CLE,21,21,39.1,10.4-19.9,52.5,1.5-4.5,34.0,3.9-5.9,66.1,2.0,7.5,9.5,7.6,1.3,2.3,2.6,3.6,26.3,1
2016-17,CLE,18,18,41.3,12.1-21.3,56.5,2.4-5.9,41.1,6.3-9.0,69.8,1.1,8.1,9.1,7.8,1.3,1.9,2.4,4.0,32.8,1
2017-18,CLE,22,22,41.9,12.5-23.2,53.9,1.8-5.2,34.2,7.2-9.7,74.6,1.4,7.7,9.1,9.0,1.0,1.4,2.4,4.3,34.0,1
2019-20,LAL,21,21,36.3,10.2-18.2,56.0,2.1-5.7,37.0,5.1-7.1,72.0,1.3,9.4,10.8,8.8,0.9,1.2,1.9,4.0,27.6,1
Career,,260,260,41.6,10.3-20.7,49.6,1.6-4.8,33.5,6.7-9.0,74.1,1.5,7.5,9.0,7.2,1.0,1.7,2.3,3.7,28.8,1
1996-97,LAL,9,0,14.8,2.3-6.1,38.2,0.7-2.6,26.1,2.9-3.3,86.7,0.1,1.1,1.2,1.2,0.2,0.3,2.6,1.6,8.2,2
1997-98,LAL,11,0,20.0,2.8-6.9,40.8,0.3-1.3,21.4,2.8-4.1,68.9,0.6,1.3,1.9,1.5,0.7,0.3,2.5,1.0,8.7,2
1998-99,LAL,8,8,39.4,7.6-17.8,43.0,1.0-2.9,34.8,3.5-4.4,80.0,1.6,5.3,6.9,4.6,1.3,1.9,3.0,3.9,19.8,2
1999-00,LAL,22,22,39.0,7.9-17.9,44.2,1.0-2.9,34.4,4.3-5.7,75.4,1.2,3.3,4.5,4.4,1.5,1.5,4.0,2.5,21.1,2
