season,team,gp,gs,min,fg,fg%,3pt,3p%,ft,ft%,or,dr,reb,ast,blk,stl,pf,to,pts,player
2003-04,CLE,79,79,39.5,7.9-18.9,41.7,0.8-2.7,29.0,4.4-5.8,75.4,1.3,4.2,5.5,5.9,0.7,1.6,1.9,3.5,20.9,1
2004-05,CLE,80,80,42.4,9.9-21.1,47.2,1.4-3.9,35.1,6.0-8.0,75.0,1.4,6.0,7.4,7.2,0.7,2.2,1.8,3.3,27.2,1
2005-06,CLE,79,79,42.5,11.1-23.1,48.0,1.6-4.8,33.5,7.6-10.3,73.8,0.9,6.1,7.0,6.6,0.8,1.6,2.3,3.3,31.4,1
2006-07,CLE,78,78,40.9,9.9-20.8,47.6,1.3-4.0,31.9,6.3-9.0,69.8,1.1,5.7,6.7,6.0,0.7,1.6,2.2,3.2,27.3,1
2007-08,CLE,75,74,40.4,10.6-21.9,48.4,1.5-4.8,31.5,7.3-10.3,71.2,1.8,6.1,7.9,7.2,1.1,1.8,2.2,3.4,30.0,1
2008-09,CLE,81,81,37.7,9.7-19.9,48.9,1.6-4.7,34.4,7.3-9.4,78.0,1.3,6.3,7.6,7.2,1.1,1.7,1.7,3.0,28.4,1
2009-10,CLE,76,76,39.0,10.1-20.1,50.3,1.7-5.1,33.3,7.8-10.2,76.7,0.9,6.4,7.3,8.6,1.0,1.6,1.6,3.4,29.7,1
2010-11,MIA,79,79,38.8,9.6-18.8,51.0,1.2-3.5,33.0,6.4-8.4,75.9,1.0,6.5,7.5,7.0,0.6,1.6,2.1,3.6,26.7,1
2011-12,MIA,62,62,37.5,10.0-18.9,53.1,0.9-2.4,36.2,6.2-8.1,77.1,1.5,6.4,7.9,6.2,0.8,1.9,1.5,3.4,27.1,1
2012-13,MIA,76,76,37.9,10.1-17.8,56.5,1.4-3.3,40.6,5.3-7.0,75.3,1.3,6.8,8.0,7.3,0.9,1.7,1.4,3.0,26.8,1
2013-14,MIA,77,77,37.7,10.0-17.6,56.7,1.5-4.0,37.9,5.7-7.6,75.0,1.1,5.9,6.9,6.3,0.3,1.6,1.6,3.5,27.1,1
2014-15,CLE,69,69,36.1,9.0-18.5,48.8,1.7-4.9,35.4,5.4-7.7,71.0,0.7,5.3,6.0,7.4,0.7,1.6,2.0,3.9,25.3,1
2015-16,CLE,76,76,35.6,9.7-18.6,52.0,1.1-3.7,30.9,4.7-6.5,73.1,1.5,6.0,7.4,6.8,0.6,1.4,1.9,3.3,25.3,1
2016-17,CLE,74,74,37.8,9.9-18.2,54.8,1.7-4.6,36.3,4.8-7.2,67.4,1.3,7.3,8.6,8.7,0.6,1.2,1.8,4.1,26.4,1
2017-18,CLE,82,82,36.9,10.5-19.3,54.2,1.8-5.0,36.7,4.7-6.5,73.1,1.2,7.5,8.6,9.1,0.9,1.4,1.7,4.2,27.5,1
2018-19,LAL,55,55,35.2,10.1-19.9,51.0,2.0-5.9,33.9,5.1-7.6,66.5,1.0,7.4,8.5,8.3,0.6,1.3,1.7,3.6,27.4,1
2019-20,LAL,67,67,34.6,9.6-19.4,49.3,2.2-6.3,34.8,3.9-5.7,69.3,1.0,6.9,7.8,10.2,0.5,1.2,1.8,3.9,25.3,1
2020-21,LAL,41,41,33.9,9.5-18.4,51.3,2.4-6.5,36.8,4.1-5.8,70.3,0.6,7.3,7.9,7.9,0.6,1.0,1.6,3.7,25.4,1
Career,,1306,1305,38.2,9.9-19.6,50.4,1.5-4.4,34.5,5.8-7.9,73.4,1.2,6.3,7.4,7.4,0.8,1.6,1.8,3.5,27.0,1
1996-97,LAL,71,6,15.5,2.5-5.9,41.7,0.7-1.9,37.5,1.9-2.3,81.9,0.7,1.2,1.9,1.3,0.3,0.7,1.4,1.6,7.6,2
1997-98,LAL,79,1,26.0,4.9-11.6,42.8,0.9-2.8,34.1,4.6-5.8,79.4,1.0,2.1,3.1,2.5,0.5,0.9,2.3,2.0,15.4,2
1998-99,LAL,50,50,37.9,7.2-15.6,46.5,0.5-2.0,26.7,4.9-5.8,83.9,1.1,4.2,5.3,3.8,1.0,1.4,3.1,3.1,19.9,2
1999-00,LAL,66,62,38.2,8.4-17.9,46.8,0.7-2.2,31.9,5.0-6.1,82.1,1.6,4.7,6.3,4.9,0.9,1.6,3.3,2.8,22.5,2
2000-01,LAL,68,68,40.9,10.3-22.2,46.4,0.9-2.9,30.5,7.0-8.2,85.3,1.5,4.3,5.9,5.0,0.6,1.7,3.3,3.2,28.5,2
2001-02,LAL,80,80,38.3,9.4-20.0,46.9,0.4-1.7,25.0,6.1-7.4,82.9,1.4,4.1,5.5,5.5,0.4,1.5,2.9,2.8,25.2,2
2002-03,LAL,82,82,41.5,10.6-23.5,45.1,1.5-4.0,38.3,7.3-8.7,84.3,1.3,5.6,6.9,5.9,0.8,2.2,2.7,3.5,30.0,2
2003-04,LAL,65,64,37.6,7.9-18.1,43.8,1.1-3.3,32.7,7.0-8.2,85.2,1.6,3.9,5.5,5.1,0.4,1.7,2.7,2.6,24.0,2
2004-05,LAL,66,66,40.7,8.7-20.1,43.3,2.0-5.9,33.9,8.2-10.1,81.6,1.4,4.5,5.9,6.0,0.8,1.3,2.6,4.1,27.6,2
2005-06,LAL,80,80,41.0,12.2-27.2,45.0,2.3-6.5,34.7,8.7-10.2,85.0,0.9,4.4,5.3,4.5,0.4,1.8,2.9,3.1,35.4,2
2006-07,LAL,77,77,40.8,10.6-22.8,46.3,1.8-5.2,34.4,8.7-10.0,86.8,1.0,4.7,5.7,5.4,0.5,1.4,2.7,3.3,31.6,2
2007-08,LAL,82,82,38.9,9.5-20.6,45.9,1.8-5.1,36.1,7.6-9.0,84.0,1.1,5.2,6.3,5.4,0.5,1.8,2.8,3.1,28.3,2
2008-09,LAL,82,82,36.1,9.8-20.9,46.7,1.4-4.1,35.1,5.9-6.9,85.6,1.1,4.1,5.2,4.9,0.5,1.5,2.3,2.6,26.8,2
2009-10,LAL,73,73,38.8,9.8-21.5,45.6,1.4-4.1,32.9,6.0-7.4,81.1,1.1,4.3,5.4,5.0,0.3,1.5,2.6,3.2,27.0,2
2010-11,LAL,82,82,33.9,9.0-20.0,45.1,1.4-4.3,32.3,5.9-7.1,82.8,1.0,4.1,5.1,4.7,0.1,1.2,2.1,3.0,25.3,2
2011-12,LAL,58,58,38.5,9.9-23.0,43.0,1.5-4.9,30.3,6.6-7.8,84.5,1.1,4.3,5.4,4.6,0.3,1.2,1.8,3.5,27.9,2
2012-13,LAL,78,78,38.6,9.5-20.4,46.3,1.7-5.2,32.4,6.7-8.0,83.9,0.8,4.7,5.6,6.0,0.3,1.4,2.2,3.7,27.3,2
2013-14,LAL,6,6,29.5,5.2-12.2,42.5,0.5-2.7,18.8,3.0-3.5,85.7,0.3,4.0,4.3,6.3,0.2,1.2,1.5,5.7,13.8,2
2014-15,LAL,35,35,34.5,7.6-20.4,37.3,1.5-5.3,29.3,5.6-6.9,81.3,0.7,4.9,5.7,5.6,0.2,1.3,1.9,3.7,22.3,2
2015-16,LAL,66,66,28.2,6.0-16.9,35.8,2.0-7.1,28.5,3.5-4.3,82.6,0.6,3.1,3.7,2.8,0.2,0.9,1.7,2.0,17.6,2
Career,,1346,1198,36.1,8.7-19.5,44.7,1.4-4.1,32.9,6.2-7.4,83.7,1.1,4.1,5.2,4.7,0.5,1.4,2.5,3.0,25.0,2
1985,CHI,82,82,38.3,10.2-19.8,51.5,0.1-0.6,17.3,7.7-9.1,84.4,2.0,4.5,6.5,5.9,0.8,2.4,3.5,3.5,28.2,3
1986,CHI,18,7,25.1,8.3-18.2,45.7,0.2-1.0,16.7,5.8-6.9,84.0,1.3,2.3,3.6,2.9,1.2,2.1,2.6,2.5,22.7,3
1987,CHI,82,82,40.0,13.4-27.8,48.2,0.1-0.8,18.2,10.2-11.9,85.7,2.0,3.2,5.2,4.6,1.5,2.9,2.9,3.3,37.1,3
1988,CHI,82,82,40.4,13.0-24.4,53.5,0.1-0.6,13.2,8.8-10.5,84.1,1.7,3.8,5.5,5.9,1.6,3.2,3.3,3.1,35.0,3
1989,CHI,81,81,40.2,11.9-22.2,53.8,0.3-1.2,27.6,8.3-9.8,85.0,1.8,6.2,8.0,8.0,0.8,2.9,3.0,3.6,32.5,3
1990,CHI,82,82,39.0,12.6-24.0,52.6,1.1-3.0,37.6,7.2-8.5,84.8,1.7,5.1,6.9,6.3,0.7,2.8,2.9,3.0,33.6,3
1991,CHI,82,82,37.0,12.1-22.4,53.9,0.4-1.1,31.2,7.0-8.2,85.1,1.4,4.6,6.0,5.5,1.0,2.7,2.8,2.5,31.5,3
1992,CHI,80,80,38.8,11.8-22.7,51.9,0.3-1.3,27.0,6.1-7.4,83.2,1.1,5.3,6.4,6.1,0.9,2.3,2.5,2.5,30.1,3
1993,CHI,78,78,39.3,12.7-25.7,49.5,1.0-2.9,35.2,6.1-7.3,83.7,1.7,5.0,6.7,5.5,0.8,2.8,2.4,2.7,32.6,3
1994-95,CHI,17,17,39.3,9.8-23.8,41.1,0.9-1.9,50.0,6.4-8.0,80.1,1.5,5.4,6.9,5.3,0.8,1.8,2.8,2.1,26.9,3
1995-96,CHI,82,82,37.7,11.2-22.6,49.5,1.4-3.2,42.7,6.7-8.0,83.4,1.8,4.8,6.6,4.3,0.5,2.2,2.4,2.4,30.4,3
1996-97,CHI,82,82,37.9,11.2-23.1,48.6,1.4-3.6,37.4,5.9-7.0,83.3,1.4,4.5,5.9,4.3,0.5,1.7,1.9,2.0,29.6,3
1997-98,CHI,82,82,38.8,10.7-23.1,46.5,0.4-1.5,23.8,6.9-8.8,78.4,1.6,4.2,5.8,3.5,0.5,1.7,1.8,2.3,28.7,3
2001-02,WSH,60,53,34.9,9.2-22.1,41.6,0.2-0.9,18.9,4.4-5.6,79.0,0.8,4.8,5.7,5.2,0.4,1.4,2.0,2.7,22.9,3
2002-03,WSH,82,67,37.0,8.3-18.6,44.5,0.2-0.7,29.1,3.2-4.0,82.1,0.9,5.2,6.1,3.8,0.5,1.5,2.1,2.1,20.0,3
Career,,1072,1039,38.3,11.4-22.9,49.7,0.5-1.7,32.7,6.8-8.2,83.5,1.6,4.7,6.2,5.3,0.8,2.3,2.6,2.7,30.1,3
